,Munro Name,Time,Cloud Cover,Max Temperature (°C),Min Temperature (°C),Base Max Temperature (°C),Base Min Temperature (°C),Wind at Top (km/h),Wind at Base (km/h)
0,A' Bhuidheanach Bheag,PM,risk tstorm,16,15,22,20,10.0,10.0
1,A' Bhuidheanach Bheag,night,rain shwrs,14,11,17,14,10.0,5.0
2,A' Bhuidheanach Bheag,AM,light rain,13,12,19,17,10.0,5.0
3,A' Bhuidheanach Bheag,PM,some clouds,14,13,19,19,5.0,5.0
4,A' Bhuidheanach Bheag,night,some clouds,12,11,16,13,5.0,5.0
5,A' Bhuidheanach Bheag,AM,clear,15,13,19,16,5.0,0.0
6,A' Bhuidheanach Bheag,PM,some clouds,16,16,22,21,5.0,0.0
7,A' Bhuidheanach Bheag,night,clear,14,14,17,14,5.0,5.0
8,A' Bhuidheanach Bheag,AM,some clouds,17,16,22,19,5.0,5.0
9,A' Bhuidheanach Bheag,PM,clear,17,17,23,22,5.0,5.0
10,A' Bhuidheanach Bheag,night,clear,15,14,18,15,5.0,5.0
11,A' Bhuidheanach Bheag,AM,clear,17,16,22,19,0.0,5.0
12,A' Bhuidheanach Bheag,PM,clear,18,18,24,23,5.0,5.0
13,A' Bhuidheanach Bheag,night,some clouds,15,13,18,15,5.0,5.0
14,A' Bhuidheanach Bheag,AM,some clouds,15,14,20,18,0.0,5.0
15,A' Bhuidheanach Bheag,PM,light rain,14,13,19,16,5.0,5.0
16,A' Bhuidheanach Bheag,night,light rain,11,9,13,11,5.0,5.0
0,A' Mharconaich,PM,risk tstorm,16,15,21,20,10.0,10.0
1,A' Mharconaich,night,clear,14,11,17,14,10.0,5.0
2,A' Mharconaich,AM,light rain,13,12,18,17,10.0,5.0
3,A' Mharconaich,PM,some clouds,13,13,19,18,5.0,5.0
4,A' Mharconaich,night,some clouds,12,11,16,13,5.0,5.0
5,A' Mharconaich,AM,clear,15,13,19,16,5.0,0.0
6,A' Mharconaich,PM,some clouds,16,16,21,21,5.0,0.0
7,A' Mharconaich,night,clear,14,14,17,15,5.0,5.0
